isbn,title,author,genre,isBogusISBN,library,row,column,note,publicNote
140430016,Wuthering Heights,Bronte. Emily,undefined,false,undefined,undefined,undefined,undefined,undefined
451518845,Jane Eyre,Bronte. Charlotte,undefined,false,undefined,undefined,undefined,undefined,undefined
451522346,Lord Jim,Conrad. Joseph,undefined,false,undefined,undefined,undefined,undefined,undefined
9780192801739,Typhoon and Other Tales,Conrad. Joseph,undefined,false,undefined,undefined,undefined,undefined,undefined
9780140440225,The Canterbury Tales,Chaucer. Geoffrey,undefined,false,undefined,undefined,undefined,undefined,undefined
9780140622072,The Canterbury Tales A Selection Penguin Popular Classics,Chaucer. Geoffrey,undefined,false,undefined,undefined,undefined,undefined,undefined
9780007257409,The Yiddish Policemen's Union,Chabon. Michael,undefined,false,undefined,undefined,undefined,undefined,undefined
9780007350933,Through the Looking Glass,Carroll. Lewis,undefined,false,undefined,undefined,undefined,undefined,undefined
9780812550757,Speaker for the Dead,Card. Orson Scott ,undefined,false,undefined,undefined,undefined,undefined,undefined
9780586085608,The Naked Lunch,Burroughs. William S ,undefined,false,undefined,undefined,undefined,undefined,undefined
9780140274097,A Clockwork Orange,Burgess. Anthony,undefined,false,undefined,undefined,undefined,undefined,undefined
9781853260018,Wuthering Heights (Wordsworth Classics),Bronte. Emily ,undefined,false,undefined,undefined,undefined,undefined,undefined
9781853262081,The Professor (Wordsworth Classics),Bronte. Charlotte,undefined,false,undefined,undefined,undefined,undefined,undefined
9780140620115,Jane Eyre (Penguin Popular Classics),Bronte. Charlotte,undefined,false,undefined,undefined,undefined,undefined,undefined
9781853262166,Agnes Grey (Wordsworth Classics),Bronte. Anne ,undefined,false,undefined,undefined,undefined,undefined,undefined
